,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2120769.4,0,0,0,0,0,0,1,0,8,3,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,2,1,0,0,0,0,0
2120869.4,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0
2120969.4,0,0,0,0,1,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,4,7,0,0,1,0,2,0,0,0,0,0
2121069.4,0,0,0,0,1,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0
2121169.4,0,0,0,0,2,0,1,0,5,4,0,0,0,0,0,0,1,0,1,0,2,4,0,0,5,0,1,0,0,0,0,0
2121269.4,0,0,0,0,1,1,1,0,7,4,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,0,0,0,0,0,0,0
2121369.4,0,0,0,0,3,0,0,0,6,2,0,1,0,0,0,0,0,0,1,0,4,4,0,0,2,0,1,0,0,0,0,0
2121469.4,0,1,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0
2121569.4,0,0,0,0,2,0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0
2121669.4,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,4,6,0,0,3,0,0,0,0,0,0,0
2121769.4,0,0,0,0,3,1,0,0,5,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,8,1,0,0,0,0,0,0
2121869.4,0,0,0,0,2,0,0,0,5,4,0,0,0,0,1,0,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0
2121969.4,0,2,0,0,1,0,0,0,5,2,0,1,0,0,2,0,1,0,0,0,2,1,1,0,1,0,2,0,0,0,0,0
2122069.4,0,2,0,0,0,0,0,0,7,2,0,0,0,0,1,1,0,0,0,0,5,2,0,0,1,0,2,0,0,0,0,0
2122169.4,0,0,0,0,2,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0,3,0,0,0,0,0
2122269.4,0,2,0,0,1,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0
2122369.4,0,2,0,0,1,0,0,0,6,3,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0
2122469.4,0,0,0,0,1,1,0,0,5,1,0,0,0,1,0,1,0,0,0,0,4,3,2,0,1,0,1,0,0,0,0,0
2122569.4,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,2,0,0,0,0,0
2122669.4,0,0,0,0,3,0,1,0,3,4,0,0,0,0,0,0,1,0,0,0,3,1,0,0,2,0,2,0,0,0,0,0
2122769.4,0,0,0,0,1,0,0,0,5,2,0,0,0,0,1,1,1,0,0,0,9,1,1,0,0,0,4,0,0,0,0,0
2122869.4,0,1,0,0,2,1,0,0,4,3,0,0,0,0,0,0,1,1,0,0,1,2,1,0,2,0,2,0,0,0,0,0
2122969.4,0,0,0,0,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,0,1,0,0,0,0,0
2123069.4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,1,0,1,0,0,0,3,2,1,0,2,0,1,0,0,0,0,0
2123169.4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0
2123269.4,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0
2123369.4,0,0,0,0,2,0,1,0,1,6,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
2123469.4,0,0,0,0,1,0,0,0,5,4,0,0,0,0,1,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
2123569.4,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,0,0,0,0,0,4,2,3,0,1,0,1,0,0,0,0,0
2123669.4,0,2,0,0,2,0,0,0,4,3,0,0,0,0,1,0,0,0,1,0,3,2,1,0,1,0,1,0,0,0,0,0
2123769.4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,4,3,3,0,3,0,1,0,0,0,0,0
2123869.4,0,1,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,0,1,0,0,0,0,0
